,0,1,2,3,4,5,6,7,8,9,10,11
312,313,Ian BRACKENBURY (#1002),05:18:47,"NZL
																							|","45-49
(40)","Male 
													(264)",00:38:53,00:07:36,02:44:29,00:04:25,01:43:21,
313,314,Paulina TUSINSKA (#791),05:18:49,"AUS
																							|","35-39
(5)","Female 
													(50)",00:37:28,00:05:52,02:45:18,00:02:14,01:47:55,
314,315,Josh BARNETT (#62),05:18:49,"NZL
																							|","40-44
(28)","Male 
													(265)",00:29:39,00:04:44,02:29:04,00:01:02,02:14:17,
315,316,Michael JAMIESON (#529),05:18:50,"AUS
																							|","30-34
(39)","Male 
													(266)",00:30:37,00:07:28,02:43:52,00:03:17,01:53:35,
316,317,Julian HASZARD (#1537),05:18:59,"NZL
																							|","40-44
(29)","Male 
													(267)",00:33:56,00:06:24,02:41:20,00:04:20,01:52:56,
317,318,Brent MORRIS (#134),05:19:02,"NZL
																							|","60-64
(7)","Male 
													(268)",00:35:51,00:06:39,02:38:00,00:02:33,01:55:57,
318,319,Graham WEBB (#1006),05:19:05,"NZL
																							|","45-49
(41)","Male 
													(269)",00:34:32,00:06:35,02:53:34,00:02:11,01:42:11,
319,320,Aaron PERRY (#604),05:19:52,"NZL
																							|","30-34
(40)","Male 
													(270)",00:38:24,00:06:25,02:40:37,00:01:22,01:53:02,
320,321,Michelle GAMMIE-CATTERICK (#1419),05:19:59,"NZL
																							|","55-59
(2)","Female 
													(51)",00:34:14,00:07:59,02:41:05,00:03:09,01:53:30,
321,322,Aimee PERRETT (#125),05:20:04,"NZL
																							|","50-54
(2)","Female 
													(52)",00:29:52,00:06:41,02:41:10,00:01:49,02:00:30,
322,323,Sean DOWNEY (#367),05:20:08,"NZL
																							|","25-29
(35)","Male 
													(271)",00:34:26,00:06:16,02:34:38,00:01:40,02:03:06,
323,324,Tanja LEMPRIERE (#1138),05:20:15,"NZL
																							|","45-49
(4)","Female 
													(53)",00:34:19,00:05:37,02:43:20,00:02:06,01:54:52,
324,325,Leslie MILLER (#832),05:20:16,"NZL
																							|","40-44
(30)","Male 
													(272)",00:34:42,00:06:05,02:50:52,00:01:32,01:47:03,
325,326,Gena CONSTANTOPOULOS (#1514),05:20:19,"NZL
																							|","40-44
(9)","Female 
													(54)",00:41:34,00:06:04,02:47:15,00:01:41,01:43:44,
326,327,Jessica LAWSON (#813),05:20:31,"NZL
																							|","35-39
(6)","Female 
													(55)",00:30:26,00:05:25,02:52:04,00:01:49,01:50:44,
327,328,Nikki EDWARDS (#185),05:20:34,"NZL
																							|","40-44
(10)","Female 
													(56)",00:33:10,00:05:18,02:51:54,00:01:33,01:48:37,
328,329,Robert SHEELEY (#1539),05:20:35,"AUS
																							|","45-49
(42)","Male 
													(273)",00:36:56,00:06:38,02:40:31,00:02:20,01:54:09,
329,330,Robert ST-DENIS (#1223),05:20:51,"NZL
																							|","50-54
(35)","Male 
													(274)",00:36:44,00:06:36,02:35:18,00:03:31,01:58:40,
330,331,Anita STRAUKS (#454),05:21:14,"AUS
																							|","25-29
(8)","Female 
													(57)",00:28:07,00:04:56,02:57:40,00:01:12,01:49:16,
331,332,Drew ADAMS (#389),05:21:18,"NZL
																							|","25-29
(36)","Male 
													(275)",00:38:53,00:07:28,02:38:58,00:02:36,01:53:22,
332,333,Michael CANIL (#171),05:21:20,"AUS
																							|","35-39
(40)","Male 
													(276)",00:38:23,00:07:15,02:42:13,00:01:38,01:51:50,
333,334,Rose EVERITT (#937),05:21:27,"NZL
																							|","40-44
(11)","Female 
													(58)",00:31:03,00:06:14,02:52:53,00:01:22,01:49:52,
334,335,Liz Hayes (#142),05:21:49,"NZL
																							|","50-54
(3)","Female 
													(59)",00:31:38,00:06:36,02:37:28,00:02:11,02:03:53,
335,336,Daniel HUNT (#1094),05:21:57,"NZL
																							|","45-49
(43)","Male 
													(277)",00:33:59,00:06:26,02:37:11,00:02:23,02:01:56,
336,337,Rob WYLIE (#1475),05:22:06,"NZL
																							|","65-69
(2)","Male 
													(278)",00:40:50,00:06:27,02:46:29,00:01:36,01:46:42,
337,338,Lee ORNSBY (#700),05:22:09,"NZL
																							|","35-39
(41)","Male 
													(279)",00:34:04,00:05:30,02:50:29,00:01:16,01:50:47,
338,339,Rachael CUNNINGHAM (#255),05:22:09,"NZL
																							|","40-44
(12)","Female 
													(60)",00:35:28,00:06:46,02:48:12,00:02:34,01:49:07,
339,340,Rob TOWNSEND (#375),05:22:12,"GBR
																							|","25-29
(37)","Male 
													(280)",00:34:58,00:06:10,02:45:13,00:02:27,01:53:22,
340,341,Dave CHANDLER (#1197),05:22:16,"NZL
																							|","50-54
(36)","Male 
													(281)",00:34:48,00:05:37,02:46:10,00:01:06,01:54:33,
341,342,Jane GANLEY (#1121),05:22:32,"NZL
																							|","45-49
(5)","Female 
													(61)",00:32:16,00:06:11,02:42:41,00:02:01,01:59:22,
342,343,Craig WILSON (#691),05:22:44,"NZL
																							|","35-39
(42)","Male 
													(282)",00:42:46,00:06:11,02:47:52,00:02:08,01:43:44,
343,344,Glen YULE (#1336),05:23:18,"NZL
																							|","55-59
(16)","Male 
													(283)",00:31:06,00:06:02,02:41:00,00:02:45,02:02:22,
344,345,Cathy PROBYN (#779),05:23:27,"NZL
																							|","35-39
(7)","Female 
													(62)",00:38:40,00:06:26,02:49:58,00:01:27,01:46:53,
345,346,Josh BLACKIE (#873),05:23:34,"NZL
																							|","40-44
(31)","Male 
													(284)",00:31:13,00:06:14,02:49:18,00:03:26,01:53:21,
346,347,Aaron WHITE (#1050),05:23:38,"NZL
																							|","45-49
(44)","Male 
													(285)",00:33:02,00:06:49,02:34:58,00:02:07,02:06:40,
347,348,Molly SWANSON (#156),05:23:39,"NZL
																							|","25-29
(9)","Female 
													(63)",00:28:09,00:05:30,02:45:01,00:01:17,02:03:41,
348,349,Anna MCRAE (#947),05:23:45,"NZL
																							|","40-44
(13)","Female 
													(64)",00:37:58,00:06:25,02:58:08,00:03:01,01:38:12,
349,350,Helen WRIGHT (#953),05:23:57,"NZL
																							|","40-44
(14)","Female 
													(65)",00:35:44,00:05:10,02:53:42,00:01:23,01:47:56,
350,351,Nobuyuki ADACHI (#1244),05:23:59,"JPN
																							|","50-54
(37)","Male 
													(286)",00:37:45,00:06:25,02:53:02,00:03:03,01:43:41,
351,352,Gavin CHAMPION (#1250),05:24:00,"NZL
																							|","50-54
(38)","Male 
													(287)",00:34:45,00:05:26,02:40:52,00:02:02,02:00:53,
352,353,Idris JONES (#311),05:24:07,"NZL
																							|","18-24
(21)","Male 
													(288)",00:32:28,00:05:24,02:54:20,00:02:03,01:49:51,
353,354,Becky MATRO (#175),05:24:27,"USA
																							|","35-39
(8)","Female 
													(66)",00:36:40,00:07:42,02:49:27,00:03:27,01:47:09,
354,355,Tom BELGRAVE (#392),05:24:34,"NZL
																							|","25-29
(38)","Male 
													(289)",00:32:48,00:08:39,02:44:40,00:04:10,01:54:16,
355,356,Doug STARK (#1195),05:24:35,"NZL
																							|","50-54
(39)","Male 
													(290)",00:36:24,00:06:40,02:51:58,00:01:47,01:47:44,
356,357,Lynaire PARISH (#251),05:24:35,"NZL
																							|","35-39
(9)","Female 
													(67)",00:34:56,00:06:20,02:54:01,00:01:31,01:47:45,
357,358,Graham JOHNS (#1065),05:24:35,"NZL
																							|","45-49
(45)","Male 
													(291)",00:33:37,00:08:08,02:44:19,00:03:19,01:55:11,
358,359,Keith PARKER (#135),05:24:36,"NZL
																							|","60-64
(8)","Male 
													(292)",00:30:50,00:07:14,02:39:52,00:02:32,02:04:06,
359,360,Stephen KEMP (#1395),05:24:38,"GBR
																							|","55-59
(17)","Male 
													(293)",00:36:54,00:07:02,02:40:40,00:01:29,01:58:31,
360,361,Gary ROBERTS (#1028),05:24:43,"NZL
																							|","45-49
(46)","Male 
													(294)",00:38:40,00:06:43,02:49:05,00:02:05,01:48:08,
361,362,Matt VAN DER VLIET (#362),05:24:43,"NZL
																							|","25-29
(39)","Male 
													(295)",00:32:56,00:06:05,02:50:15,00:01:40,01:53:46,
362,363,Campbell KERR (#368),05:24:44,"NZL
																							|","25-29
(40)","Male 
													(296)",00:34:23,00:06:16,03:01:01,00:02:12,01:40:50,
363,364,Jodie STOCKS (#118),05:24:48,"AUS
																							|","45-49
(6)","Female 
													(68)",00:29:16,00:07:07,02:49:44,00:03:14,01:55:24,
364,365,Disa DYSON (#784),05:24:51,"AUS
																							|","35-39
(10)","Female 
													(69)",00:41:04,00:08:44,02:38:15,00:01:55,01:54:50,
365,366,Eric WYLDE (#1346),05:24:53,"NZL
																							|","55-59
(18)","Male 
													(297)",00:35:11,00:07:48,02:44:00,00:02:01,01:55:52,
366,367,Erin MANSELL (#91),05:24:54,"NZL
																							|","30-34
(11)","Female 
													(70)",00:32:46,00:06:29,02:49:55,00:02:18,01:53:24,
367,368,Kate BROWN (#932),05:25:01,"NZL
																							|","40-44
(15)","Female 
													(71)",00:31:28,00:05:43,02:37:16,00:01:57,02:08:36,
368,369,David DYSON (#1381),05:25:02,"AUS
																							|","55-59
(19)","Male 
													(298)",00:34:03,00:07:15,02:42:08,00:02:03,01:59:31,
369,370,Chris MUSSELL (#1036),05:25:15,"CAN
																							|","45-49
(47)","Male 
													(299)",00:39:50,00:06:33,02:49:59,00:02:42,01:46:08,
370,371,Raea KHAN (#1503),05:25:47,"AUS
																							|","35-39
(43)","Male 
													(300)",00:26:19,00:04:55,02:48:44,00:01:25,02:04:23,
371,372,Stijn DE VRIENDT (#98),05:26:16,"BEL
																							|","35-39
(44)","Male 
													(301)",00:33:41,00:06:10,02:47:38,00:02:15,01:56:30,
372,373,Gemma SCOTT (#661),05:26:17,"NZL
																							|","30-34
(12)","Female 
													(72)",00:27:34,00:06:28,02:50:55,00:02:06,01:59:13,
373,374,Danielle TREWOON (#240),05:26:30,"NZL
																							|","25-29
(10)","Female 
													(73)",00:29:16,00:05:48,02:43:15,00:02:05,02:06:05,
374,375,Andrew THOMPSON (#295),05:26:32,"NZL
																							|","18-24
(22)","Male 
													(302)",00:30:34,00:07:51,02:43:33,00:02:35,02:01:58,
375,376,Michael O'KEEFE (#830),05:26:37,"AUS
																							|","40-44
(32)","Male 
													(303)",00:31:11,00:06:06,02:54:04,00:02:16,01:52:57,
376,377,Deirdre NAGLE (#931),05:26:59,"NZL
																							|","40-44
(16)","Female 
													(74)",00:39:42,00:06:18,02:49:07,00:01:43,01:50:07,
377,378,Travis TOMLINSON (#729),05:27:02,"NZL
																							|","35-39
(45)","Male 
													(304)",00:37:53,00:06:37,02:48:44,00:01:16,01:52:30,
378,379,Benjamin SINNAMON (#1498),05:27:04,"NZL
																							|","30-34
(41)","Male 
													(305)",00:32:28,00:06:35,02:48:44,00:02:41,01:56:35,
379,380,Matthew MARTIN (#315),05:27:05,"NZL
																							|","18-24
(23)","Male 
													(306)",00:28:43,00:05:37,02:46:44,00:01:38,02:04:21,
380,381,Scott BUFTON (#89),05:27:10,"NZL
																							|","30-34
(42)","Male 
													(307)",00:33:46,00:06:09,02:56:57,00:01:48,01:48:28,
381,382,Matthew SIMISTER (#726),05:27:15,"GBR
																							|","35-39
(46)","Male 
													(308)",00:37:06,00:06:24,02:44:21,00:02:27,01:56:56,
382,383,Grant MACKAY (#1098),05:27:21,"NZL
																							|","45-49
(48)","Male 
													(309)",00:36:17,00:07:14,02:43:24,00:02:08,01:58:16,
383,384,Anthony WEBSTER (#387),05:27:25,"NZL
																							|","25-29
(41)","Male 
													(310)",00:31:13,00:06:01,02:53:39,00:01:30,01:55:00,
384,385,Sean IZZARD (#861),05:27:34,"NZL
																							|","40-44
(33)","Male 
													(311)",00:36:44,00:06:39,02:47:57,00:02:26,01:53:46,
385,386,Samuel PIETRAS (#318),05:27:40,"NZL
																							|","18-24
(24)","Male 
													(312)",00:36:19,00:06:20,02:54:08,00:02:19,01:48:33,
386,387,Niels MADSEN (#73),05:27:49,"NZL
																							|","60-64
(9)","Male 
													(313)",00:33:16,00:05:23,02:34:22,00:01:54,02:12:51,
387,388,Richard COOK (#698),05:27:55,"NZL
																							|","35-39
(47)","Male 
													(314)",00:36:13,00:05:34,02:58:51,00:03:03,01:44:11,
388,389,Kevin COWSILL (#1253),05:27:57,"NZL
																							|","50-54
(40)","Male 
													(315)",00:37:35,00:06:50,02:51:36,00:02:38,01:49:16,
389,390,Adrian CLENSHAW (#895),05:28:03,"NZL
																							|","40-44
(34)","Male 
													(316)",00:33:49,00:06:16,02:38:35,00:02:50,02:06:31,
390,391,Annie MONTGOMERY (#451),05:28:21,"NZL
																							|","25-29
(11)","Female 
													(75)",00:33:29,00:05:47,02:49:13,00:01:26,01:58:24,
391,392,Jana PUTTKAMMER (#163),05:28:21,"DEU
																							|","30-34
(13)","Female 
													(76)",00:36:25,00:05:57,02:40:16,00:01:29,02:04:12,
392,393,Brandi ALBERTS (#81),05:28:21,"AUS
																							|","18-24
(4)","Female 
													(77)",00:35:15,00:05:34,02:49:27,00:01:18,01:56:45,
393,394,Brad GEEN (#379),05:28:27,"NZL
																							|","25-29
(42)","Male 
													(317)",00:37:31,00:06:36,02:44:27,00:04:28,01:55:22,
394,395,Phil ISON (#1449),05:28:31,"NZL
																							|","60-64
(10)","Male 
													(318)",00:37:23,00:07:33,02:54:07,00:02:25,01:47:01,
395,396,Connor EMENY (#1489),05:28:41,"CAN
																							|","18-24
(25)","Male 
													(319)",00:36:56,00:07:39,02:56:50,00:03:45,01:43:30,
396,397,Heath RADCLIFFE (#1274),05:28:44,"NZL
																							|","50-54
(41)","Male 
													(320)",00:38:32,00:06:35,02:41:17,00:02:58,01:59:20,
397,398,Dennis LANGFORD (#824),05:28:47,"NZL
																							|","40-44
(35)","Male 
													(321)",00:43:46,00:06:53,02:48:31,00:02:17,01:47:18,
398,399,Gavin FOSTER (#1502),05:28:56,"NZL
																							|","35-39
(48)","Male 
													(322)",00:35:52,00:06:02,02:47:19,00:02:37,01:57:03,
399,400,Leah BARNFIELD (#649),05:29:03,"NZL
																							|","30-34
(14)","Female 
													(78)",00:34:50,00:06:36,02:45:26,00:01:25,02:00:44,
400,401,Richard WHEELER (#1013),05:29:10,"NZL
																							|","45-49
(49)","Male 
													(323)",00:38:02,00:06:55,02:46:44,00:02:12,01:55:16,
401,402,Simon Gergo SZŐKE (#433),05:29:10,"HUN
																							|","25-29
(43)","Male 
													(324)",00:36:55,00:07:51,02:45:13,00:02:40,01:56:29,
402,403,Gus STRUTHERS (#1109),05:29:16,"NZL
																							|","45-49
(50)","Male 
													(325)",00:32:44,00:06:32,02:48:00,00:03:01,01:58:57,
403,404,Julie MORGAN (#215),05:29:31,"NZL
																							|","50-54
(4)","Female 
													(79)",00:40:18,00:06:49,02:45:30,00:02:22,01:54:30,
404,405,Vaughan MINTON (#749),05:29:31,"NZL
																							|","35-39
(49)","Male 
													(326)",00:35:17,00:07:41,02:54:06,00:02:30,01:49:55,
405,406,Chris BREDENBECK (#177),05:29:39,"NZL
																							|","40-44
(36)","Male 
													(327)",00:35:45,00:07:44,02:47:52,00:02:50,01:55:25,
406,407,Kim TURNER (#663),05:29:54,"NZL
																							|","30-34
(15)","Female 
													(80)",00:31:00,00:06:08,02:53:59,00:01:58,01:56:48,
407,408,Mark EWING (#695),05:30:02,"NZL
																							|","35-39
(50)","Male 
													(328)",00:37:22,00:06:37,02:39:10,00:01:42,02:05:09,
408,409,Jane BALDWIN (#1412),05:30:18,"NZL
																							|","55-59
(3)","Female 
													(81)",00:35:26,00:06:12,02:49:55,00:01:30,01:57:13,
409,410,Hayden GOLDSACK (#826),05:30:24,"NZL
																							|","40-44
(37)","Male 
													(329)",00:41:23,00:05:33,02:46:11,00:01:52,01:55:23,
410,411,David SLEEP (#1072),05:30:25,"NZL
																							|","45-49
(51)","Male 
													(330)",00:37:21,00:06:58,02:50:43,00:02:20,01:53:01,
411,412,Eileen SEARLE (#1400),05:30:30,"NZL
																							|","55-59
(4)","Female 
													(82)",00:37:11,00:07:35,02:54:51,00:02:11,01:48:40,
412,413,Jarrod BOARD (#1510),05:30:36,"NZL
																							|","40-44
(38)","Male 
													(331)",00:33:52,00:05:58,02:54:34,00:01:36,01:54:34,
413,414,Richard BEAMISH (#1039),05:30:39,"NZL
																							|","45-49
(52)","Male 
													(332)",00:29:41,00:08:56,02:49:36,00:03:01,01:59:22,
414,415,Julia SPARK (#218),05:30:41,"NZL
																							|","50-54
(5)","Female 
													(83)",00:40:55,00:07:08,02:46:16,00:01:59,01:54:21,
415,416,Sam EDWARDS (#556),05:30:43,"NZL
																							|","30-34
(43)","Male 
													(333)",00:33:05,00:07:07,02:57:21,00:02:18,01:50:50,
416,417,Anna GUY (#126),05:31:02,"NZL
																							|","50-54
(6)","Female 
													(84)",00:36:36,00:05:49,02:54:01,00:01:56,01:52:39,
417,418,Aaron BELSHAM (#161),05:31:05,"NZL
																							|","30-34
(44)","Male 
													(334)",00:32:13,00:05:51,02:49:10,00:02:11,02:01:39,
418,419,Michele ALLISON (#74),05:31:14,"NZL
																							|","60-64
(1)","Female 
													(85)",00:33:27,00:07:01,02:53:01,00:02:01,01:55:42,
419,420,Jacqueline EASTMAN (#1320),05:31:16,"NZL
																							|","50-54
(7)","Female 
													(86)",00:38:23,00:06:10,02:59:13,00:02:08,01:45:20,
420,421,Sarah GORMAN (#242),05:31:16,"NZL
																							|","25-29
(12)","Female 
													(87)",00:28:21,00:06:00,02:55:10,00:01:34,02:00:10,
421,422,Kevin HUNT (#1352),05:31:18,"NZL
																							|","55-59
(20)","Male 
													(335)",00:36:23,00:07:24,02:54:28,00:02:07,01:50:54,
422,423,Martin HARRIS (#1091),05:31:37,"NZL
																							|","45-49
(53)","Male 
													(336)",00:35:07,00:06:16,02:39:48,00:02:18,02:08:06,
423,424,Dave SUTTON (#113),05:31:38,"NZL
																							|","45-49
(54)","Male 
													(337)",00:35:07,00:06:19,02:33:01,00:01:43,02:15:26,
424,425,Keri HOUSTON (#72),05:31:42,"NZL
																							|","50-54
(8)","Female 
													(88)",00:37:18,00:07:23,02:43:16,00:02:47,02:00:56,
425,426,Daniel ERASMUS (#558),05:31:44,"ZAF
																							|","30-34
(45)","Male 
													(338)",00:30:36,00:06:29,02:39:52,00:01:59,02:12:47,
426,427,Elliot HARVEY (#380),05:31:45,"NZL
																							|","25-29
(44)","Male 
													(339)",00:38:31,00:06:10,02:41:03,00:01:44,02:04:14,
427,428,Mark EVANS (#223),05:31:54,"NZL
																							|","40-44
(39)","Male 
													(340)",00:34:04,00:05:55,02:55:18,00:02:07,01:54:29,
428,429,Mark COFFEY (#272),05:31:57,"NZL
																							|","55-59
(21)","Male 
													(341)",00:42:48,00:08:53,02:43:58,00:02:26,01:53:49,
429,430,Michael PRATT (#725),05:32:03,"NZL
																							|","35-39
(51)","Male 
													(342)",00:38:51,00:14:31,02:52:52,00:03:13,01:42:34,
430,431,Kylie BROWN (#173),05:32:08,"NZL
																							|","35-39
(11)","Female 
													(89)",00:34:42,00:06:28,02:56:43,00:01:59,01:52:13,
431,432,Mohamed ABDERREZAK (#732),05:32:10,"FRA
																							|","35-39
(52)","Male 
													(343)",00:38:29,00:08:10,02:47:04,00:03:00,01:55:25,
432,433,Alistair RUSSELL (#704),05:32:18,"NZL
																							|","35-39
(53)","Male 
													(344)",00:32:07,00:06:55,02:40:34,00:01:51,02:10:49,
433,434,Quentin HOLMES (#1264),05:32:21,"NZL
																							|","50-54
(42)","Male 
													(345)",00:37:30,00:06:15,02:50:20,00:02:34,01:55:41,
434,435,Chow CHI NGAN (#788),05:32:24,"HKG
																							|","35-39
(12)","Female 
													(90)",00:40:51,00:06:25,02:58:22,00:01:50,01:44:55,
435,436,Ennis YOUNG (#1215),05:32:46,"NZL
																							|","50-54
(43)","Male 
													(346)",00:31:08,00:06:24,02:52:15,00:02:00,02:00:56,
436,437,Charlotte PATERSON (#85),05:32:48,"NZL
																							|","25-29
(13)","Female 
													(91)",00:35:22,00:05:32,02:58:31,00:01:19,01:52:01,
437,438,Patrick O'DOHERTY (#254),05:32:50,"IRL
																							|","40-44
(40)","Male 
													(347)",00:36:41,00:07:46,02:57:29,00:02:42,01:48:10,
438,439,Julia CREE (#1318),05:32:50,"NZL
																							|","50-54
(9)","Female 
													(92)",00:29:50,00:07:12,02:52:58,00:02:46,02:00:02,
439,440,Megan PAINE (#659),05:32:59,"NZL
																							|","30-34
(16)","Female 
													(93)",00:36:42,00:06:16,02:55:42,00:02:11,01:52:06,
440,441,Jake MUNRO (#868),05:33:18,"NZL
																							|","40-44
(41)","Male 
													(348)",00:34:26,00:06:11,02:46:55,00:02:19,02:03:26,
441,442,Ray SCOTT (#1457),05:33:48,"NZL
																							|","60-64
(11)","Male 
													(349)",00:35:43,00:07:44,02:38:52,00:01:56,02:09:31,
442,443,Steven BECKER (#273),05:33:54,"NZL
																							|","55-59
(22)","Male 
													(350)",00:38:46,00:07:35,02:54:26,00:01:29,01:51:35,
443,444,Paul BECKETT (#549),05:33:58,"GBR
																							|","30-34
(46)","Male 
													(351)",00:35:38,00:07:17,02:47:00,00:01:51,02:02:10,
444,445,Jason HATZIMIHAIL (#167),05:33:59,"AUS
																							|","35-39
(54)","Male 
													(352)",00:44:59,00:08:45,02:41:41,00:03:59,01:54:33,
445,446,Cor STORY (#137),05:34:12,"NZL
																							|","65-69
(3)","Male 
													(353)",00:30:49,00:06:05,02:53:21,00:01:48,02:02:07,
446,447,Amy KALAN (#933),05:34:13,"NZL
																							|","40-44
(17)","Female 
													(94)",00:35:50,00:06:08,02:51:12,00:01:59,01:59:02,
447,448,Matthew CLARKE (#894),05:34:19,"NZL
																							|","40-44
(42)","Male 
													(354)",00:37:41,00:07:53,02:58:19,00:02:21,01:48:02,
448,449,Gaurav AGARWAL (#686),05:34:19,"AUS
																							|","35-39
(55)","Male 
													(355)",00:39:32,00:07:11,02:48:54,00:02:14,01:56:26,
449,450,Jean-Marc PETIT (#239),05:34:24,"NZL
																							|","25-29
(45)","Male 
													(356)",00:32:57,00:06:57,03:03:42,00:02:18,01:48:28,
450,451,Rory CARTER (#546),05:34:28,"NZL
																							|","30-34
(47)","Male 
													(357)",00:31:44,00:09:21,02:46:43,00:04:13,02:02:25,
451,452,Ian MACLEOD (#1026),05:34:31,"NZL
																							|","45-49
(55)","Male 
													(358)",00:31:21,00:06:35,02:51:14,00:02:55,02:02:25,
452,453,Kristin STOKES (#256),05:34:33,"NZL
																							|","40-44
(18)","Female 
													(95)",00:38:52,00:07:31,02:48:30,00:02:50,01:56:48,
453,454,Kevin SYMES (#1429),05:34:33,"NZL
																							|","60-64
(12)","Male 
													(359)",00:41:56,00:07:01,02:53:21,00:02:25,01:49:48,
454,455,Brittney LITTON (#455),05:34:35,"NZL
																							|","25-29
(14)","Female 
													(96)",00:34:57,00:05:52,02:52:03,00:02:16,01:59:27,
455,456,Tessa MCPHERSON (#466),05:34:45,"NZL
																							|","25-29
(15)","Female 
													(97)",00:40:54,00:06:28,02:57:21,00:01:58,01:48:02,
456,457,Tracey LIVINGSTONE (#199),05:34:52,"NZL
																							|","45-49
(7)","Female 
													(98)",00:33:43,00:06:07,02:54:50,00:02:19,01:57:51,
457,458,Elizabeth LEE (#339),05:34:54,"NZL
																							|","18-24
(5)","Female 
													(99)",00:35:26,00:07:02,02:47:55,00:01:48,02:02:42,
458,459,Mickael RIEG (#536),05:34:56,"FRA
																							|","30-34
(48)","Male 
													(360)",00:37:48,00:07:55,02:59:27,00:02:15,01:47:29,
459,460,James SMITH (#385),05:34:59,"NZL
																							|","25-29
(46)","Male 
													(361)",00:39:49,00:07:41,02:56:57,00:03:07,01:47:23,
460,461,Tania GOVER (#106),05:35:27,"AUS
																							|","40-44
(19)","Female 
													(100)",00:35:22,00:04:57,02:56:20,00:01:50,01:56:56,
461,462,Gayle CLARK (#1315),05:35:34,"NZL
																							|","50-54
(10)","Female 
													(101)",00:32:57,00:06:29,02:55:49,00:01:36,01:58:41,
462,463,Stephen MATHESON (#1385),05:35:41,"NZL
																							|","55-59
(23)","Male 
													(362)",00:41:37,00:09:27,02:45:28,00:05:09,01:53:57,
463,464,Adam PATRICK (#908),05:35:53,"AUS
																							|","40-44
(43)","Male 
													(363)",00:31:49,00:09:00,03:03:23,00:03:10,01:48:28,
464,465,Marina FOWELL (#1406),05:35:56,"NZL
																							|","55-59
(5)","Female 
													(102)",00:31:02,00:05:33,02:45:36,00:02:10,02:11:33,
465,466,Sandy O'CONNELL (#1273),05:35:57,"NZL
																							|","50-54
(44)","Male 
													(364)",00:36:45,00:07:34,02:41:11,00:02:51,02:07:34,
466,467,Luke GRAHAM (#417),05:36:11,"NZL
																							|","25-29
(47)","Male 
													(365)",00:36:23,00:06:28,02:48:27,00:02:39,02:02:11,
467,468,Eddie CRAWFORD (#577),05:36:14,"GBR
																							|","30-34
(49)","Male 
													(366)",00:37:47,00:07:40,02:43:36,00:03:45,02:03:25,
468,469,Claudia MAGESKI (#816),05:36:17,"NZL
																							|","35-39
(13)","Female 
													(103)",00:31:46,00:06:28,02:48:32,00:01:29,02:08:00,
469,470,Rachel O'CONNELL (#782),05:36:18,"NZL
																							|","35-39
(14)","Female 
													(104)",00:35:04,00:05:53,02:49:16,00:01:44,02:04:19,
470,471,Abby MILLER (#504),05:36:27,"CAN
																							|","25-29
(16)","Female 
													(105)",00:29:23,00:05:17,02:54:36,00:01:33,02:05:36,
471,472,John MELLOWS (#720),05:36:30,"NZL
																							|","35-39
(56)","Male 
													(367)",00:34:16,00:07:16,02:57:16,00:03:37,01:54:04,
472,473,Ryan ALEXANDER (#303),05:36:32,"NZL
																							|","18-24
(26)","Male 
													(368)",00:34:12,00:06:38,02:54:51,00:02:40,01:58:09,
473,474,Tanya LAVINGTON (#274),05:36:35,"NZL
																							|","55-59
(6)","Female 
													(106)",00:33:55,00:06:14,02:47:42,00:01:43,02:06:58,
474,475,Gareth BOWEN (#152),05:36:37,"NZL
																							|","25-29
(48)","Male 
													(369)",00:34:09,00:08:43,02:35:39,00:02:39,02:15:25,
475,476,Kathy LA FAUCE (#792),05:36:37,"AUS
																							|","35-39
(15)","Female 
													(107)",00:32:17,00:05:40,02:58:37,00:01:33,01:58:28,
476,477,Nick SAUNDERS (#566),05:36:45,"NZL
																							|","30-34
(50)","Male 
													(370)",00:40:33,00:07:51,02:55:26,00:01:37,01:51:16,
477,478,Takeshi OTSUKA (#195),05:36:46,"NZL
																							|","45-49
(56)","Male 
													(371)",00:45:13,00:08:38,02:46:31,00:03:08,01:53:13,
478,479,Katrina WHAANGA (#119),05:36:47,"NZL
																							|","45-49
(8)","Female 
													(108)",00:36:07,00:06:36,02:51:08,00:04:01,01:58:54,
479,480,Nicola SPROULE (#216),05:37:00,"NZL
																							|","50-54
(11)","Female 
													(109)",00:41:20,00:05:34,02:50:54,00:01:49,01:57:20,
480,481,John WHITEHILL (#618),05:37:01,"AUS
																							|","30-34
(51)","Male 
													(372)",00:36:49,00:05:47,02:43:26,00:04:38,02:06:19,
481,482,Murphy NIUAPU (#1212),05:37:02,"NZL
																							|","50-54
(45)","Male 
													(373)",00:42:35,00:08:48,02:40:50,00:03:36,02:01:11,
482,483,Brian YULE (#1113),05:37:05,"NZL
																							|","45-49
(57)","Male 
													(374)",00:34:25,00:07:59,02:53:47,00:05:06,01:55:45,
483,484,Iain PHILLIPS (#166),05:37:10,"NZL
																							|","35-39
(57)","Male 
													(375)",00:45:20,00:05:46,02:39:56,00:02:04,02:04:02,
484,485,Kelly WISNIEWSKI (#449),05:37:12,"NZL
																							|","25-29
(17)","Female 
													(110)",00:32:56,00:06:54,03:02:29,00:01:51,01:53:00,
485,486,Lee-Anne YOUNG (#131),05:37:27,"NZL
																							|","55-59
(7)","Female 
													(111)",00:35:53,00:06:34,02:53:12,00:02:38,01:59:08,
