,0,1,2,3,4,5,6,7,8,9,10,11
39,40,Russell SMITH (#1201),04:27:28,"NZL
																							|","50-54
(1)","Male 
													(37)",00:27:38,00:05:01,02:26:46,00:01:16,01:26:46,
40,41,Joshua HOCKLEY (#99),04:27:39,"AUS
																							|","35-39
(4)","Male 
													(38)",00:33:16,00:05:08,02:20:19,00:01:24,01:27:30,
41,42,Sam BENTHAM (#291),04:28:18,"NZL
																							|","18-24
(8)","Male 
													(39)",00:25:50,00:04:22,02:26:15,00:00:58,01:30:50,
42,43,Nathan MARTIN (#168),04:29:25,"NZL
																							|","35-39
(5)","Male 
													(40)",00:34:07,00:05:00,02:22:27,00:02:07,01:25:41,
43,44,Nathan JONES (#699),04:29:41,"NZL
																							|","35-39
(6)","Male 
													(41)",00:30:45,00:04:16,02:28:00,00:01:13,01:25:25,
44,45,Ben GALEA (#309),04:30:25,"AUS
																							|","18-24
(9)","Male 
													(42)",00:27:28,00:04:15,02:20:54,00:01:39,01:36:07,
45,46,Mike WRIGHT (#687),04:30:47,"NZL
																							|","35-39
(7)","Male 
													(43)",00:28:22,00:04:44,02:23:07,00:01:11,01:33:21,
46,47,Jason MORRIS (#1045),04:30:50,"NZL
																							|","45-49
(2)","Male 
													(44)",00:31:11,00:04:40,02:24:40,00:01:11,01:29:07,
47,48,Peter TUCK (#208),04:31:49,"NZL
																							|","50-54
(2)","Male 
													(45)",00:31:03,00:04:46,02:23:23,00:01:22,01:31:13,
48,49,Max GORDON (#153),04:32:36,"NZL
																							|","25-29
(6)","Male 
													(46)",00:29:46,00:04:36,02:21:44,00:01:26,01:35:02,
49,50,Dónal MCGOLDRICK (#369),04:32:43,"IRL
																							|","25-29
(7)","Male 
													(47)",00:30:27,00:04:54,02:24:47,00:01:17,01:31:15,
50,51,Andrew MUIR (#361),04:32:49,"NZL
																							|","25-29
(8)","Male 
													(48)",00:28:25,00:05:26,02:28:18,00:01:16,01:29:23,
51,52,Steven MILLER (#112),04:32:51,"NZL
																							|","45-49
(3)","Male 
													(49)",00:32:10,00:04:52,02:27:24,00:01:37,01:26:45,
52,53,Isaac YOUNG (#885),04:32:59,"NZL
																							|","40-44
(3)","Male 
													(50)",00:32:39,00:05:11,02:24:39,00:01:23,01:29:04,
53,54,Rebecca CLARKE (#21),04:33:41,"NZL
																							|","Pro
(4)","Female 
													(4)",00:25:41,00:04:10,02:26:30,00:01:10,01:36:08,
54,55,Patrick KITSCHKE (#287),04:34:05,"AUS
																							|","18-24
(10)","Male 
													(51)",00:32:54,00:04:47,02:23:06,00:01:36,01:31:39,
55,56,Holly KHAN (#24),04:34:25,"AUS
																							|","Pro
(5)","Female 
													(5)",00:29:10,00:04:05,02:28:05,00:01:18,01:31:45,
56,57,Jono BALL (#391),04:34:39,"NZL
																							|","25-29
(9)","Male 
													(52)",00:29:19,00:05:15,02:22:00,00:01:43,01:36:20,
57,58,Glenn HALUPKA (#539),04:34:41,"AUS
																							|","30-34
(9)","Male 
													(53)",00:34:22,00:05:17,02:18:50,00:01:34,01:34:37,
58,59,Tristan SCHENK (#759),04:34:56,"NLD
																							|","35-39
(8)","Male 
													(54)",00:31:19,00:05:20,02:27:09,00:01:18,01:29:49,
59,60,Rob DALLIMORE (#848),04:34:56,"NZL
																							|","40-44
(4)","Male 
													(55)",00:29:49,00:04:59,02:25:24,00:01:19,01:33:24,
60,61,Michael VAN KAMPEN (#86),04:36:05,"NZL
																							|","30-34
(10)","Male 
													(56)",00:29:43,00:05:35,02:23:46,00:01:34,01:35:24,
61,62,Tim ANDERSON (#101),04:36:30,"NZL
																							|","40-44
(5)","Male 
													(57)",00:29:36,00:05:42,02:26:38,00:01:34,01:32:58,
62,63,Thomas HUGHES (#371),04:37:00,"NZL
																							|","25-29
(10)","Male 
													(58)",00:29:28,00:05:08,02:26:58,00:01:22,01:34:03,
63,64,Hayden SQUANCE (#289),04:37:01,"NZL
																							|","18-24
(11)","Male 
													(59)",00:23:28,00:04:13,02:23:02,00:01:35,01:44:41,
64,65,Charles SCANNELL (#431),04:37:25,"NZL
																							|","25-29
(11)","Male 
													(60)",00:27:22,00:04:57,02:26:55,00:01:42,01:36:26,
65,66,Heynrich DU TOIT (#51),04:37:51,"NZL
																							|","25-29
(12)","Male 
													(61)",00:31:41,00:05:41,02:27:22,00:02:29,01:30:36,
66,67,Michael GRANTHAM (#1259),04:37:55,"NZL
																							|","50-54
(3)","Male 
													(62)",00:29:17,00:05:29,02:24:49,00:01:12,01:37:07,
67,68,Julia GRANT (#25),04:37:55,"NZL
																							|","Pro
(6)","Female 
													(6)",00:29:14,00:04:18,02:33:11,00:01:23,01:29:48,
68,69,Dean GALT (#65),04:38:25,"NZL
																							|","45-49
(4)","Male 
													(63)",00:31:55,00:05:12,02:20:45,00:01:31,01:39:01,
69,70,Walter THORBURN (#1529),04:38:35,"NZL
																							|","55-59
(1)","Male 
													(64)",00:28:11,00:04:44,02:25:55,00:02:06,01:37:37,
70,71,Mike CROWE (#109),04:38:43,"NZL
																							|","45-49
(5)","Male 
													(65)",00:31:33,00:04:42,02:24:48,00:01:13,01:36:25,
71,72,Luke JONES (#165),04:39:02,"AUS
																							|","35-39
(9)","Male 
													(66)",00:30:11,00:04:31,02:29:17,00:01:18,01:33:43,
72,73,Simon RALPH (#1104),04:39:17,"NZL
																							|","45-49
(6)","Male 
													(67)",00:32:37,00:04:37,02:25:41,00:01:50,01:34:31,
73,74,Steve DEAN (#1193),04:39:21,"NZL
																							|","50-54
(4)","Male 
													(68)",00:30:30,00:05:05,02:23:39,00:01:39,01:38:26,
74,75,Hayden CORKIN (#688),04:40:01,"NZL
																							|","35-39
(10)","Male 
													(69)",00:25:27,00:05:16,02:31:21,00:01:41,01:36:14,
75,76,Aaron ASHDOWN (#528),04:40:24,"AUS
																							|","30-34
(11)","Male 
													(70)",00:27:37,00:04:47,02:29:58,00:01:01,01:36:58,
76,77,Jared BIDWELL (#573),04:40:43,"AUS
																							|","30-34
(12)","Male 
													(71)",00:30:59,00:05:13,02:22:41,00:00:58,01:40:50,
77,78,Anton BERGS (#1016),04:40:59,"NZL
																							|","45-49
(7)","Male 
													(72)",00:33:11,00:04:36,02:26:40,00:01:43,01:34:46,
78,79,Johnny VAN ALTVORST (#614),04:41:17,"NZL
																							|","30-34
(13)","Male 
													(73)",00:28:57,00:05:03,02:24:47,00:01:46,01:40:42,
79,80,Brad MCNAMARA (#673),04:41:25,"NZL
																							|","35-39
(11)","Male 
													(74)",00:34:11,00:04:37,02:26:04,00:02:07,01:34:24,
80,81,Reuben TUCKER (#860),04:41:38,"NZL
																							|","40-44
(6)","Male 
													(75)",00:31:31,00:05:11,02:30:59,00:01:27,01:32:29,
81,82,Simon PENNINGTON (#859),04:41:43,"NZL
																							|","40-44
(7)","Male 
													(76)",00:29:43,00:05:03,02:27:14,00:01:21,01:38:20,
82,83,Sam GUTHRIE (#356),04:41:57,"NZL
																							|","25-29
(13)","Male 
													(77)",00:27:12,00:04:26,02:28:30,00:01:37,01:40:10,
83,84,Andrew SMITH (#920),04:42:02,"NZL
																							|","40-44
(8)","Male 
													(78)",00:32:07,00:05:11,02:29:34,00:02:05,01:33:04,
84,85,Glenn WRIGHT (#1357),04:42:20,"NZL
																							|","55-59
(2)","Male 
													(79)",00:30:17,00:05:20,02:33:58,00:01:53,01:30:50,
85,86,Barry WATTS (#678),04:42:33,"GBR
																							|","35-39
(12)","Male 
													(80)",00:28:20,00:04:43,02:28:15,00:01:47,01:39:26,
86,87,Melanie BURKE (#26),04:43:19,"NZL
																							|","Pro
(7)","Female 
													(7)",00:34:04,00:05:14,02:31:06,00:01:33,01:31:20,
